p sp 100 2200
c
a 1 2 275
a 2 1 275
a 1 6 485
a 6 1 485
a 1 12 138
a 12 1 138
a 1 15 170
a 15 1 170
a 1 22 948
a 22 1 948
a 1 24 158
a 24 1 158
a 1 30 395
a 30 1 395
a 1 36 930
a 36 1 930
a 1 42 833
a 42 1 833
a 1 43 732
a 43 1 732
a 1 45 615
a 45 1 615
a 1 47 437
a 47 1 437
a 1 50 166
a 50 1 166
a 1 57 992
a 57 1 992
a 1 63 235
a 63 1 235
a 1 67 543
a 67 1 543
a 1 70 649
a 70 1 649
a 1 71 668
a 71 1 668
a 1 72 373
a 72 1 373
a 1 81 688
a 81 1 688
a 1 84 397
a 84 1 397
a 1 85 583
a 85 1 583
a 1 88 201
a 88 1 201
a 1 91 401
a 91 1 401
a 1 92 293
a 92 1 293
a 1 95 520
a 95 1 520
a 1 99 782
a 99 1 782
a 1 100 316
a 100 1 316
a 2 3 847
a 3 2 847
a 2 5 992
a 5 2 992
a 2 6 849
a 6 2 849
a 2 9 750
a 9 2 750
a 2 11 137
a 11 2 137
a 2 12 514
a 12 2 514
a 2 13 104
a 13 2 104
a 2 16 802
a 16 2 802
a 2 18 504
a 18 2 504
a 2 34 949
a 34 2 949
a 2 38 784
a 38 2 784
a 2 40 966
a 40 2 966
a 2 42 713
a 42 2 713
a 2 46 530
a 46 2 530
a 2 47 258
a 47 2 258
a 2 50 419
a 50 2 419
a 2 54 750
a 54 2 750
a 2 56 868
a 56 2 868
a 2 76 592
a 76 2 592
a 2 86 636
a 86 2 636
a 2 90 915
a 90 2 915
a 2 92 229
a 92 2 229
a 2 93 543
a 93 2 543
a 2 94 133
a 94 2 133
a 2 96 916
a 96 2 916
a 3 4 331
a 4 3 331
a 3 5 783
a 5 3 783
a 3 7 850
a 7 3 850
a 3 9 473
a 9 3 473
a 3 10 979
a 10 3 979
a 3 11 190
a 11 3 190
a 3 17 965
a 17 3 965
a 3 23 519
a 23 3 519
a 3 24 809
a 24 3 809
a 3 25 906
a 25 3 906
a 3 35 784
a 35 3 784
a 3 41 709
a 41 3 709
a 3 42 228
a 42 3 228
a 3 46 523
a 46 3 523
a 3 52 202
a 52 3 202
a 3 57 954
a 57 3 954
a 3 72 889
a 72 3 889
a 3 75 555
a 75 3 555
a 3 76 754
a 76 3 754
a 3 77 291
a 77 3 291
a 3 78 855
a 78 3 855
a 3 81 729
a 81 3 729
a 3 82 177
a 82 3 177
a 4 8 442
a 8 4 442
a 4 11 556
a 11 4 556
a 4 13 128
a 13 4 128
a 4 15 713
a 15 4 713
a 4 16 205
a 16 4 205
a 4 17 272
a 17 4 272
a 4 20 375
a 20 4 375
a 4 24 878
a 24 4 878
a 4 47 488
a 47 4 488
a 4 53 705
a 53 4 705
a 4 62 832
a 62 4 832
a 4 63 732
a 63 4 732
a 4 67 407
a 67 4 407
a 4 71 910
a 71 4 910
a 4 75 877
a 75 4 877
a 4 78 123
a 78 4 123
a 4 89 317
a 89 4 317
a 4 92 964
a 92 4 964
a 4 97 462
a 97 4 462
a 4 98 657
a 98 4 657
a 4 100 186
a 100 4 186
a 5 7 480
a 7 5 480
a 5 9 172
a 9 5 172
a 5 10 642
a 10 5 642
a 5 14 278
a 14 5 278
a 5 21 906
a 21 5 906
a 5 33 297
a 33 5 297
a 5 35 237
a 35 5 237
a 5 39 522
a 39 5 522
a 5 42 729
a 42 5 729
a 5 44 844
a 44 5 844
a 5 50 123
a 50 5 123
a 5 55 882
a 55 5 882
a 5 67 159
a 67 5 159
a 5 75 955
a 75 5 955
a 5 79 999
a 79 5 999
a 5 83 306
a 83 5 306
a 5 88 626
a 88 5 626
a 5 93 496
a 93 5 496
a 5 95 221
a 95 5 221
a 6 13 480
a 13 6 480
a 6 14 502
a 14 6 502
a 6 20 981
a 20 6 981
a 6 21 841
a 21 6 841
a 6 28 488
a 28 6 488
a 6 30 136
a 30 6 136
a 6 34 284
a 34 6 284
a 6 39 765
a 39 6 765
a 6 43 367
a 43 6 367
a 6 45 258
a 45 6 258
a 6 46 702
a 46 6 702
a 6 50 465
a 50 6 465
a 6 54 629
a 54 6 629
a 6 56 833
a 56 6 833
a 6 62 600
a 62 6 600
a 6 64 776
a 64 6 776
a 6 66 330
a 66 6 330
a 6 71 187
a 71 6 187
a 6 72 972
a 72 6 972
a 6 73 730
a 73 6 730
a 6 76 295
a 76 6 295
a 6 79 666
a 79 6 666
a 6 89 748
a 89 6 748
a 6 94 971
a 94 6 971
a 7 15 577
a 15 7 577
a 7 17 871
a 17 7 871
a 7 19 186
a 19 7 186
a 7 23 414
a 23 7 414
a 7 27 669
a 27 7 669
a 7 28 703
a 28 7 703
a 7 33 484
a 33 7 484
a 7 44 671
a 44 7 671
a 7 47 439
a 47 7 439
a 7 50 853
a 50 7 853
a 7 53 807
a 53 7 807
a 7 59 286
a 59 7 286
a 7 63 409
a 63 7 409
a 7 66 293
a 66 7 293
a 7 69 589
a 69 7 589
a 7 70 609
a 70 7 609
a 7 71 957
a 71 7 957
a 7 74 172
a 74 7 172
a 7 82 257
a 82 7 257
a 7 86 387
a 86 7 387
a 8 9 368
a 9 8 368
a 8 10 151
a 10 8 151
a 8 12 601
a 12 8 601
a 8 14 809
a 14 8 809
a 8 16 552
a 16 8 552
a 8 26 144
a 26 8 144
a 8 28 274
a 28 8 274
a 8 29 340
a 29 8 340
a 8 43 645
a 43 8 645
a 8 44 116
a 44 8 116
a 8 51 140
a 51 8 140
a 8 57 160
a 57 8 160
a 8 59 447
a 59 8 447
a 8 61 642
a 61 8 642
a 8 65 184
a 65 8 184
a 8 66 967
a 66 8 967
a 8 73 767
a 73 8 767
a 8 74 201
a 74 8 201
a 8 93 894
a 93 8 894
a 9 13 575
a 13 9 575
a 9 14 696
a 14 9 696
a 9 22 125
a 22 9 125
a 9 23 293
a 23 9 293
a 9 25 317
a 25 9 317
a 9 27 403
a 27 9 403
a 9 34 281
a 34 9 281
a 9 36 309
a 36 9 309
a 9 37 923
a 37 9 923
a 9 38 629
a 38 9 629
a 9 44 647
a 44 9 647
a 9 45 915
a 45 9 915
a 9 51 116
a 51 9 116
a 9 52 660
a 52 9 660
a 9 54 831
a 54 9 831
a 9 58 399
a 58 9 399
a 9 59 348
a 59 9 348
a 9 60 274
a 60 9 274
a 9 65 967
a 65 9 967
a 9 78 266
a 78 9 266
a 9 79 635
a 79 9 635
a 9 80 495
a 80 9 495
a 9 81 795
a 81 9 795
a 9 82 146
a 82 9 146
a 9 85 929
a 85 9 929
a 9 91 508
a 91 9 508
a 10 15 589
a 15 10 589
a 10 50 709
a 50 10 709
a 10 51 479
a 51 10 479
a 10 52 120
a 52 10 120
a 10 54 594
a 54 10 594
a 10 55 738
a 55 10 738
a 10 60 168
a 60 10 168
a 10 62 160
a 62 10 160
a 10 73 770
a 73 10 770
a 10 74 853
a 74 10 853
a 10 84 779
a 84 10 779
a 10 88 737
a 88 10 737
a 10 90 736
a 90 10 736
a 10 92 643
a 92 10 643
a 11 14 339
a 14 11 339
a 11 15 543
a 15 11 543
a 11 21 359
a 21 11 359
a 11 23 499
a 23 11 499
a 11 25 188
a 25 11 188
a 11 30 821
a 30 11 821
a 11 34 672
a 34 11 672
a 11 35 974
a 35 11 974
a 11 39 960
a 39 11 960
a 11 43 484
a 43 11 484
a 11 51 436
a 51 11 436
a 11 61 195
a 61 11 195
a 11 62 752
a 62 11 752
a 11 64 811
a 64 11 811
a 11 65 529
a 65 11 529
a 11 68 285
a 68 11 285
a 11 78 144
a 78 11 144
a 11 79 531
a 79 11 531
a 11 82 475
a 82 11 475
