p sp 100 9900
c
a 1 3 548
a 3 1 548
a 1 5 280
a 5 1 280
a 1 6 390
a 6 1 390
a 1 7 601
a 7 1 601
a 1 8 370
a 8 1 370
a 1 9 578
a 9 1 578
a 1 11 554
a 11 1 554
a 1 12 824
a 12 1 824
a 1 13 894
a 13 1 894
a 1 14 629
a 14 1 629
a 1 15 701
a 15 1 701
a 1 16 589
a 16 1 589
a 1 17 354
a 17 1 354
a 1 18 282
a 18 1 282
a 1 20 820
a 20 1 820
a 1 21 805
a 21 1 805
a 1 22 972
a 22 1 972
a 1 23 896
a 23 1 896
a 1 25 344
a 25 1 344
a 1 26 484
a 26 1 484
a 1 28 773
a 28 1 773
a 1 30 226
a 30 1 226
a 1 32 961
a 32 1 961
a 1 33 588
a 33 1 588
a 1 34 183
a 34 1 183
a 1 36 446
a 36 1 446
a 1 37 380
a 37 1 380
a 1 38 944
a 38 1 944
a 1 39 350
a 39 1 350
a 1 40 836
a 40 1 836
a 1 41 533
a 41 1 533
a 1 42 243
a 42 1 243
a 1 43 319
a 43 1 319
a 1 44 422
a 44 1 422
a 1 45 978
a 45 1 978
a 1 47 251
a 47 1 251
a 1 48 176
a 48 1 176
a 1 49 796
a 49 1 796
a 1 51 447
a 51 1 447
a 1 52 419
a 52 1 419
a 1 53 914
a 53 1 914
a 1 54 902
a 54 1 902
a 1 56 146
a 56 1 146
a 1 57 252
a 57 1 252
a 1 58 680
a 58 1 680
a 1 59 192
a 59 1 192
a 1 60 840
a 60 1 840
a 1 61 750
a 61 1 750
a 1 62 710
a 62 1 710
a 1 63 388
a 63 1 388
a 1 64 166
a 64 1 166
a 1 65 331
a 65 1 331
a 1 67 257
a 67 1 257
a 1 68 210
a 68 1 210
a 1 69 592
a 69 1 592
a 1 70 265
a 70 1 265
a 1 71 515
a 71 1 515
a 1 72 241
a 72 1 241
a 1 73 387
a 73 1 387
a 1 74 396
a 74 1 396
a 1 75 789
a 75 1 789
a 1 76 495
a 76 1 495
a 1 77 155
a 77 1 155
a 1 78 529
a 78 1 529
a 1 79 309
a 79 1 309
a 1 80 877
a 80 1 877
a 1 81 834
a 81 1 834
a 1 82 201
a 82 1 201
a 1 83 369
a 83 1 369
a 1 84 901
a 84 1 901
a 1 85 216
a 85 1 216
a 1 86 752
a 86 1 752
a 1 87 638
a 87 1 638
a 1 88 985
a 88 1 985
a 1 89 970
a 89 1 970
a 1 90 260
a 90 1 260
a 1 91 196
a 91 1 196
a 1 92 992
a 92 1 992
a 1 93 771
a 93 1 771
a 1 94 741
a 94 1 741
a 1 95 114
a 95 1 114
a 1 96 342
a 96 1 342
a 1 97 618
a 97 1 618
a 1 98 769
a 98 1 769
a 1 99 799
a 99 1 799
a 1 100 134
a 100 1 134
a 2 3 295
a 3 2 295
a 2 4 979
a 4 2 979
a 2 5 864
a 5 2 864
a 2 6 437
a 6 2 437
a 2 7 714
a 7 2 714
