p sp 100 4400
c
a 1 2 605
a 2 1 605
a 1 3 385
a 3 1 385
a 1 4 906
a 4 1 906
a 1 7 551
a 7 1 551
a 1 8 418
a 8 1 418
a 1 10 153
a 10 1 153
a 1 13 327
a 13 1 327
a 1 21 357
a 21 1 357
a 1 24 834
a 24 1 834
a 1 25 194
a 25 1 194
a 1 26 487
a 26 1 487
a 1 29 735
a 29 1 735
a 1 30 878
a 30 1 878
a 1 37 641
a 37 1 641
a 1 38 108
a 38 1 108
a 1 40 725
a 40 1 725
a 1 41 858
a 41 1 858
a 1 45 572
a 45 1 572
a 1 51 112
a 51 1 112
a 1 52 117
a 52 1 117
a 1 53 522
a 53 1 522
a 1 54 110
a 54 1 110
a 1 55 394
a 55 1 394
a 1 57 489
a 57 1 489
a 1 59 198
a 59 1 198
a 1 60 439
a 60 1 439
a 1 63 911
a 63 1 911
a 1 64 755
a 64 1 755
a 1 67 162
a 67 1 162
a 1 70 449
a 70 1 449
a 1 71 781
a 71 1 781
a 1 72 506
a 72 1 506
a 1 76 862
a 76 1 862
a 1 82 765
a 82 1 765
a 1 83 261
a 83 1 261
a 1 86 108
a 86 1 108
a 1 91 293
a 91 1 293
a 1 95 406
a 95 1 406
a 1 97 572
a 97 1 572
a 1 100 242
a 100 1 242
a 2 3 696
a 3 2 696
a 2 4 283
a 4 2 283
a 2 7 637
a 7 2 637
a 2 8 664
a 8 2 664
a 2 11 498
a 11 2 498
a 2 12 891
a 12 2 891
a 2 15 494
a 15 2 494
a 2 16 339
a 16 2 339
a 2 17 514
a 17 2 514
a 2 18 201
a 18 2 201
a 2 19 720
a 19 2 720
a 2 21 690
a 21 2 690
a 2 22 340
a 22 2 340
a 2 23 342
a 23 2 342
a 2 30 381
a 30 2 381
a 2 31 676
a 31 2 676
a 2 32 886
a 32 2 886
a 2 34 154
a 34 2 154
a 2 36 741
a 36 2 741
a 2 37 741
a 37 2 741
a 2 42 979
a 42 2 979
a 2 43 914
a 43 2 914
a 2 45 400
a 45 2 400
a 2 50 836
a 50 2 836
a 2 54 247
a 54 2 247
a 2 56 687
a 56 2 687
a 2 57 429
a 57 2 429
a 2 59 160
a 59 2 160
a 2 60 926
a 60 2 926
a 2 61 542
a 61 2 542
a 2 63 560
a 63 2 560
a 2 64 942
a 64 2 942
a 2 66 971
a 66 2 971
a 2 69 129
a 69 2 129
a 2 70 672
a 70 2 672
a 2 71 294
a 71 2 294
a 2 73 344
a 73 2 344
a 2 76 682
a 76 2 682
a 2 77 117
a 77 2 117
a 2 78 994
a 78 2 994
a 2 79 806
a 79 2 806
a 2 80 725
a 80 2 725
a 2 82 251
a 82 2 251
a 2 83 784
a 83 2 784
a 2 86 765
a 86 2 765
a 2 89 154
a 89 2 154
a 2 93 166
a 93 2 166
a 2 95 555
a 95 2 555
a 2 96 452
a 96 2 452
a 3 5 476
a 5 3 476
a 3 6 519
a 6 3 519
a 3 11 648
a 11 3 648
a 3 15 951
a 15 3 951
a 3 19 974
a 19 3 974
a 3 21 860
a 21 3 860
a 3 25 512
a 25 3 512
a 3 30 564
a 30 3 564
a 3 31 220
a 31 3 220
a 3 34 242
a 34 3 242
a 3 44 717
a 44 3 717
a 3 45 978
a 45 3 978
a 3 47 563
a 47 3 563
a 3 50 416
a 50 3 416
a 3 53 585
a 53 3 585
a 3 54 119
a 54 3 119
a 3 55 109
a 55 3 109
a 3 58 990
a 58 3 990
a 3 60 1000
a 60 3 1000
a 3 64 386
a 64 3 386
a 3 66 848
a 66 3 848
a 3 73 628
a 73 3 628
a 3 76 661
a 76 3 661
a 3 77 237
a 77 3 237
a 3 81 365
a 81 3 365
a 3 84 423
a 84 3 423
a 3 86 983
a 86 3 983
a 3 87 496
a 87 3 496
a 3 88 958
a 88 3 958
a 3 90 787
a 90 3 787
a 3 91 279
a 91 3 279
a 3 93 103
a 93 3 103
a 3 95 661
a 95 3 661
a 3 96 661
a 96 3 661
a 3 98 651
a 98 3 651
a 3 99 364
a 99 3 364
a 4 5 926
a 5 4 926
a 4 6 181
a 6 4 181
a 4 7 344
a 7 4 344
a 4 11 961
a 11 4 961
a 4 15 848
a 15 4 848
a 4 16 124
a 16 4 124
a 4 17 191
a 17 4 191
a 4 18 955
a 18 4 955
a 4 19 608
a 19 4 608
a 4 24 200
a 24 4 200
a 4 26 915
a 26 4 915
a 4 27 382
a 27 4 382
a 4 29 689
a 29 4 689
a 4 34 324
a 34 4 324
a 4 35 502
a 35 4 502
a 4 37 215
a 37 4 215
a 4 39 945
a 39 4 945
a 4 40 935
a 40 4 935
a 4 44 507
a 44 4 507
a 4 48 816
a 48 4 816
a 4 51 547
a 51 4 547
a 4 52 323
a 52 4 323
a 4 53 180
