p sp 100 5500
c
a 1 2 527
a 2 1 527
a 1 3 584
a 3 1 584
a 1 4 824
a 4 1 824
a 1 6 200
a 6 1 200
a 1 7 835
a 7 1 835
a 1 8 937
a 8 1 937
a 1 10 964
a 10 1 964
a 1 11 817
a 11 1 817
a 1 16 369
a 16 1 369
a 1 17 853
a 17 1 853
a 1 19 433
a 19 1 433
a 1 20 386
a 20 1 386
a 1 22 257
a 22 1 257
a 1 24 955
a 24 1 955
a 1 27 282
a 27 1 282
a 1 28 745
a 28 1 745
a 1 30 229
a 30 1 229
a 1 31 785
a 31 1 785
a 1 36 320
a 36 1 320
a 1 37 724
a 37 1 724
a 1 38 717
a 38 1 717
a 1 39 331
a 39 1 331
a 1 40 769
a 40 1 769
a 1 41 740
a 41 1 740
a 1 42 774
a 42 1 774
a 1 43 314
a 43 1 314
a 1 44 260
a 44 1 260
a 1 49 250
a 49 1 250
a 1 52 953
a 52 1 953
a 1 54 895
a 54 1 895
a 1 56 245
a 56 1 245
a 1 57 184
a 57 1 184
a 1 62 152
a 62 1 152
a 1 63 633
a 63 1 633
a 1 66 351
a 66 1 351
a 1 68 998
a 68 1 998
a 1 72 356
a 72 1 356
a 1 77 735
a 77 1 735
a 1 80 514
a 80 1 514
a 1 81 693
a 81 1 693
a 1 82 613
a 82 1 613
a 1 83 365
a 83 1 365
a 1 84 666
a 84 1 666
a 1 87 703
a 87 1 703
a 1 89 778
a 89 1 778
a 1 90 206
a 90 1 206
a 1 91 215
a 91 1 215
a 1 92 987
a 92 1 987
a 1 98 498
a 98 1 498
a 1 99 757
a 99 1 757
a 1 100 855
a 100 1 855
a 2 4 939
a 4 2 939
a 2 7 831
a 7 2 831
a 2 9 513
a 9 2 513
a 2 11 316
a 11 2 316
a 2 15 149
a 15 2 149
a 2 16 783
a 16 2 783
a 2 17 304
a 17 2 304
a 2 18 336
a 18 2 336
a 2 22 916
a 22 2 916
a 2 23 182
a 23 2 182
a 2 25 158
a 25 2 158
a 2 27 730
a 27 2 730
a 2 28 411
a 28 2 411
a 2 31 401
a 31 2 401
a 2 35 647
a 35 2 647
a 2 39 166
a 39 2 166
a 2 40 870
a 40 2 870
a 2 41 329
a 41 2 329
a 2 43 998
a 43 2 998
a 2 47 984
a 47 2 984
a 2 48 624
a 48 2 624
a 2 50 124
a 50 2 124
a 2 52 898
a 52 2 898
a 2 53 758
a 53 2 758
a 2 55 523
a 55 2 523
a 2 57 710
a 57 2 710
a 2 58 368
a 58 2 368
a 2 61 523
a 61 2 523
a 2 63 836
a 63 2 836
a 2 65 994
a 65 2 994
a 2 66 958
a 66 2 958
a 2 69 866
a 69 2 866
a 2 72 712
a 72 2 712
a 2 75 240
a 75 2 240
a 2 79 185
a 79 2 185
a 2 80 432
a 80 2 432
a 2 83 454
a 83 2 454
a 2 85 616
a 85 2 616
a 2 86 384
a 86 2 384
a 2 87 584
a 87 2 584
a 2 88 307
a 88 2 307
a 2 90 657
a 90 2 657
a 2 91 716
a 91 2 716
a 2 92 543
a 92 2 543
a 2 93 853
a 93 2 853
a 2 94 268
a 94 2 268
a 2 95 765
a 95 2 765
a 2 97 597
a 97 2 597
a 2 98 771
a 98 2 771
a 2 100 921
a 100 2 921
a 3 4 236
a 4 3 236
a 3 6 333
a 6 3 333
a 3 7 796
a 7 3 796
a 3 8 980
a 8 3 980
a 3 9 527
a 9 3 527
a 3 10 278
a 10 3 278
a 3 13 515
a 13 3 515
a 3 14 995
a 14 3 995
a 3 15 802
a 15 3 802
a 3 16 823
a 16 3 823
a 3 17 383
a 17 3 383
a 3 18 657
a 18 3 657
a 3 19 354
a 19 3 354
a 3 22 616
a 22 3 616
a 3 23 481
a 23 3 481
a 3 29 394
a 29 3 394
a 3 34 462
a 34 3 462
a 3 36 718
a 36 3 718
a 3 41 581
a 41 3 581
a 3 43 851
a 43 3 851
a 3 46 303
a 46 3 303
a 3 47 722
a 47 3 722
a 3 49 722
a 49 3 722
a 3 50 865
a 50 3 865
a 3 51 282
a 51 3 282
a 3 53 674
a 53 3 674
a 3 55 884
a 55 3 884
a 3 56 474
a 56 3 474
a 3 58 765
a 58 3 765
a 3 60 529
a 60 3 529
a 3 61 199
a 61 3 199
a 3 62 535
a 62 3 535
a 3 64 428
a 64 3 428
a 3 66 224
a 66 3 224
a 3 67 301
a 67 3 301
a 3 69 309
a 69 3 309
a 3 70 940
a 70 3 940
a 3 72 822
a 72 3 822
a 3 73 963
a 73 3 963
a 3 75 196
a 75 3 196
a 3 76 430
a 76 3 430
a 3 78 643
a 78 3 643
a 3 79 680
a 79 3 680
a 3 81 238
a 81 3 238
a 3 82 524
a 82 3 524
a 3 84 303
a 84 3 303
a 3 89 903
a 89 3 903
a 3 91 404
a 91 3 404
a 3 93 515
a 93 3 515
a 3 94 353
a 94 3 353
a 3 95 648
a 95 3 648
a 3 98 129
a 98 3 129
a 4 5 107
a 5 4 107
a 4 6 133
a 6 4 133
a 4 9 829
a 9 4 829
a 4 10 188
a 10 4 188
a 4 15 434
a 15 4 434
a 4 16 218
a 16 4 218
a 4 19 397
a 19 4 397
a 4 20 704
a 20 4 704
a 4 23 992
a 23 4 992
a 4 25 956
a 25 4 956
a 4 29 310
a 29 4 310
a 4 31 579
a 31 4 579
a 4 32 278
a 32 4 278
a 4 33 781
a 33 4 781
a 4 35 297
a 35 4 297
a 4 37 303
a 37 4 303
a 4 38 436
a 38 4 436
a 4 39 878
a 39 4 878
a 4 42 644
a 42 4 644
a 4 43 922
a 43 4 922
a 4 44 764
a 44 4 764
a 4 45 456
a 45 4 456
a 4 47 407
a 47 4 407
a 4 48 975
a 48 4 975
a 4 50 634
a 50 4 634
a 4 51 477
a 51 4 477
a 4 54 680
a 54 4 680
a 4 57 190
a 57 4 190
a 4 60 591
a 60 4 591
a 4 61 467
a 61 4 467
a 4 63 398
a 63 4 398
a 4 64 775
a 64 4 775
a 4 65 371
a 65 4 371
a 4 66 953
a 66 4 953
a 4 68 741
a 68 4 741
a 4 71 953
a 71 4 953
a 4 73 966
a 73 4 966
a 4 77 828
a 77 4 828
a 4 78 980
a 78 4 980
a 4 79 169
a 79 4 169
a 4 82 942
a 82 4 942
a 4 83 185
a 83 4 185
a 4 84 826
a 84 4 826
a 4 85 835
a 85 4 835
a 4 86 231
a 86 4 231
a 4 87 800
a 87 4 800
a 4 88 831
a 88 4 831
a 4 90 577
a 90 4 577
a 4 93 949
a 93 4 949
a 4 95 517
a 95 4 517
a 4 98 266
a 98 4 266
a 4 99 535
a 99 4 535
a 4 100 926
a 100 4 926
a 5 7 406
a 7 5 406
a 5 10 474
a 10 5 474
a 5 15 482
a 15 5 482
a 5 16 530
a 16 5 530
a 5 19 485
a 19 5 485
a 5 21 688
a 21 5 688
a 5 22 121
a 22 5 121
a 5 26 695
a 26 5 695
a 5 28 504
a 28 5 504
a 5 33 250
a 33 5 250
a 5 34 636
a 34 5 636
a 5 35 703
a 35 5 703
a 5 38 548
a 38 5 548
a 5 39 357
a 39 5 357
a 5 40 669
a 40 5 669
a 5 41 523
a 41 5 523
a 5 42 586
a 42 5 586
a 5 43 321
a 43 5 321
a 5 49 890
a 49 5 890
a 5 50 687
a 50 5 687
a 5 51 730
a 51 5 730
a 5 53 601
a 53 5 601
a 5 54 526
a 54 5 526
a 5 56 975
a 56 5 975
a 5 59 602
a 59 5 602
a 5 61 411
a 61 5 411
a 5 63 893
a 63 5 893
a 5 66 644
a 66 5 644
a 5 67 229
a 67 5 229
a 5 68 623
a 68 5 623
a 5 69 255
a 69 5 255
a 5 70 113
a 70 5 113
a 5 72 295
a 72 5 295
a 5 73 996
a 73 5 996
a 5 75 395
a 75 5 395
a 5 76 245
a 76 5 245
a 5 78 948
a 78 5 948
a 5 80 616
a 80 5 616
a 5 81 612
a 81 5 612
a 5 82 902
a 82 5 902
a 5 83 160
a 83 5 160
a 5 84 275
a 84 5 275
a 5 85 547
a 85 5 547
