p sp 100 8800
c
a 1 2 803
a 2 1 803
a 1 3 547
a 3 1 547
a 1 5 103
a 5 1 103
a 1 6 682
a 6 1 682
a 1 7 166
a 7 1 166
a 1 8 907
a 8 1 907
a 1 10 655
a 10 1 655
a 1 12 830
a 12 1 830
a 1 15 818
a 15 1 818
a 1 17 148
a 17 1 148
a 1 18 573
a 18 1 573
a 1 19 179
a 19 1 179
a 1 20 205
a 20 1 205
a 1 21 788
a 21 1 788
a 1 22 896
a 22 1 896
a 1 23 394
a 23 1 394
a 1 24 225
a 24 1 225
a 1 25 827
a 25 1 827
a 1 26 514
a 26 1 514
a 1 28 961
a 28 1 961
a 1 30 427
a 30 1 427
a 1 31 441
a 31 1 441
a 1 32 743
a 32 1 743
a 1 33 272
a 33 1 272
a 1 34 211
a 34 1 211
a 1 35 917
a 35 1 917
a 1 36 662
a 36 1 662
a 1 38 702
a 38 1 702
a 1 39 100
a 39 1 100
a 1 40 428
a 40 1 428
a 1 42 102
a 42 1 102
a 1 43 441
a 43 1 441
a 1 44 386
a 44 1 386
a 1 46 740
a 46 1 740
a 1 48 539
a 48 1 539
a 1 49 497
a 49 1 497
a 1 51 988
a 51 1 988
a 1 52 820
a 52 1 820
a 1 54 421
a 54 1 421
a 1 55 172
a 55 1 172
a 1 56 855
a 56 1 855
a 1 57 863
a 57 1 863
a 1 58 670
a 58 1 670
a 1 59 559
a 59 1 559
a 1 61 518
a 61 1 518
a 1 62 822
a 62 1 822
a 1 63 611
a 63 1 611
a 1 64 815
a 64 1 815
a 1 65 880
a 65 1 880
a 1 66 565
a 66 1 565
a 1 67 920
a 67 1 920
a 1 68 421
a 68 1 421
a 1 69 199
a 69 1 199
a 1 70 554
a 70 1 554
a 1 71 898
a 71 1 898
a 1 73 962
a 73 1 962
a 1 74 672
a 74 1 672
a 1 75 998
a 75 1 998
a 1 76 561
a 76 1 561
a 1 77 637
a 77 1 637
a 1 78 390
a 78 1 390
a 1 79 639
a 79 1 639
a 1 80 935
a 80 1 935
a 1 81 673
a 81 1 673
a 1 82 747
a 82 1 747
a 1 83 462
a 83 1 462
a 1 84 121
a 84 1 121
a 1 85 568
a 85 1 568
a 1 86 957
a 86 1 957
a 1 87 558
a 87 1 558
a 1 88 779
a 88 1 779
a 1 89 876
a 89 1 876
a 1 90 824
a 90 1 824
