p sp 100 6598
c
a 1 3 176
a 3 1 176
a 1 4 231
a 4 1 231
a 1 5 710
a 5 1 710
a 1 7 730
a 7 1 730
a 1 8 647
a 8 1 647
a 1 9 233
a 9 1 233
a 1 10 812
a 10 1 812
a 1 11 937
a 11 1 937
a 1 13 554
a 13 1 554
a 1 15 564
a 15 1 564
a 1 16 835
a 16 1 835
a 1 17 377
a 17 1 377
a 1 18 644
a 18 1 644
a 1 19 837
a 19 1 837
a 1 21 614
a 21 1 614
a 1 22 320
a 22 1 320
a 1 29 516
a 29 1 516
a 1 30 627
a 30 1 627
a 1 31 369
a 31 1 369
a 1 32 378
a 32 1 378
a 1 33 150
a 33 1 150
a 1 35 780
a 35 1 780
a 1 36 984
a 36 1 984
a 1 38 573
a 38 1 573
a 1 40 288
a 40 1 288
a 1 44 878
a 44 1 878
a 1 45 125
a 45 1 125
a 1 46 176
a 46 1 176
a 1 47 649
a 47 1 649
a 1 48 914
a 48 1 914
a 1 49 733
a 49 1 733
a 1 50 865
a 50 1 865
a 1 52 453
a 52 1 453
a 1 53 884
a 53 1 884
a 1 54 984
a 54 1 984
a 1 59 922
a 59 1 922
a 1 61 534
a 61 1 534
a 1 62 656
a 62 1 656
a 1 63 662
a 63 1 662
a 1 64 932
a 64 1 932
a 1 65 952
a 65 1 952
a 1 68 368
a 68 1 368
a 1 69 530
a 69 1 530
a 1 71 437
a 71 1 437
a 1 73 240
a 73 1 240
a 1 75 903
a 75 1 903
a 1 76 934
a 76 1 934
a 1 78 792
a 78 1 792
a 1 79 278
a 79 1 278
a 1 80 364
a 80 1 364
a 1 81 600
a 81 1 600
a 1 82 677
a 82 1 677
a 1 83 933
a 83 1 933
a 1 84 728
a 84 1 728
a 1 85 128
a 85 1 128
a 1 86 751
a 86 1 751
a 1 87 783
a 87 1 783
a 1 88 333
a 88 1 333
a 1 89 609
a 89 1 609
a 1 92 185
a 92 1 185
a 1 94 423
a 94 1 423
a 1 95 794
a 95 1 794
a 1 96 423
a 96 1 423
a 1 99 296
a 99 1 296
a 1 100 113
a 100 1 113
a 2 4 521
a 4 2 521
a 2 6 668
a 6 2 668
a 2 9 291
a 9 2 291
a 2 10 435
a 10 2 435
a 2 11 727
a 11 2 727
a 2 12 191
a 12 2 191
a 2 14 294
a 14 2 294
a 2 15 979
a 15 2 979
a 2 16 501
a 16 2 501
a 2 17 954
a 17 2 954
a 2 19 203
a 19 2 203
a 2 20 959
a 20 2 959
a 2 21 741
a 21 2 741
a 2 24 335
a 24 2 335
a 2 25 588
a 25 2 588
a 2 26 506
a 26 2 506
a 2 27 914
a 27 2 914
a 2 29 522
a 29 2 522
a 2 30 462
a 30 2 462
a 2 32 297
a 32 2 297
a 2 35 819
a 35 2 819
a 2 38 994
a 38 2 994
a 2 39 596
a 39 2 596
a 2 41 676
a 41 2 676
a 2 43 617
a 43 2 617
a 2 44 508
a 44 2 508
a 2 45 747
a 45 2 747
a 2 46 448
a 46 2 448
a 2 48 466
a 48 2 466
a 2 49 1000
a 49 2 1000
a 2 51 686
a 51 2 686
a 2 53 565
a 53 2 565
a 2 54 421
a 54 2 421
a 2 55 324
a 55 2 324
a 2 56 317
a 56 2 317
a 2 57 575
a 57 2 575
a 2 58 711
a 58 2 711
