p sp 100 1100
c
a 1 6 518
a 6 1 518
a 1 13 702
a 13 1 702
a 1 16 475
a 16 1 475
a 1 24 436
a 24 1 436
a 1 25 320
a 25 1 320
a 1 28 499
a 28 1 499
a 1 55 985
a 55 1 985
a 1 58 499
a 58 1 499
a 1 66 748
a 66 1 748
a 1 71 465
a 71 1 465
a 1 81 522
a 81 1 522
a 1 82 996
a 82 1 996
a 1 90 642
a 90 1 642
a 1 91 394
a 91 1 394
a 1 94 215
a 94 1 215
a 2 8 900
a 8 2 900
a 2 12 801
a 12 2 801
a 2 37 957
a 37 2 957
a 2 47 213
a 47 2 213
a 2 52 563
a 52 2 563
a 2 59 216
a 59 2 216
a 2 81 393
a 81 2 393
a 2 85 430
a 85 2 430
a 2 94 689
a 94 2 689
a 3 20 660
a 20 3 660
a 3 37 852
a 37 3 852
a 3 40 577
a 40 3 577
a 3 50 717
a 50 3 717
a 3 74 844
a 74 3 844
a 3 79 987
a 79 3 987
a 3 81 672
a 81 3 672
a 3 93 603
a 93 3 603
a 4 5 232
a 5 4 232
a 4 11 308
a 11 4 308
a 4 33 316
a 33 4 316
a 4 43 343
a 43 4 343
a 4 64 246
a 64 4 246
a 4 65 298
a 65 4 298
a 4 73 303
a 73 4 303
a 4 74 316
a 74 4 316
a 4 77 698
a 77 4 698
a 4 81 272
a 81 4 272
a 4 86 333
a 86 4 333
a 4 88 375
a 88 4 375
a 5 11 747
a 11 5 747
a 5 20 903
a 20 5 903
a 5 41 154
a 41 5 154
a 5 50 304
a 50 5 304
a 5 51 915
a 51 5 915
a 5 63 973
a 63 5 973
a 5 67 225
a 67 5 225
a 5 74 939
a 74 5 939
a 5 77 983
a 77 5 983
a 5 89 874
a 89 5 874
a 5 93 835
a 93 5 835
a 5 96 712
a 96 5 712
a 5 97 841
a 97 5 841
a 5 98 570
a 98 5 570
a 6 10 148
a 10 6 148
a 6 12 682
a 12 6 682
a 6 18 964
a 18 6 964
a 6 27 171
a 27 6 171
a 6 33 411
a 33 6 411
a 6 49 645
a 49 6 645
a 6 53 991
a 53 6 991
a 6 81 702
a 81 6 702
a 6 90 719
a 90 6 719
a 6 91 924
a 91 6 924
a 6 99 926
a 99 6 926
a 6 100 116
a 100 6 116
a 7 14 810
a 14 7 810
a 7 19 850
a 19 7 850
a 7 26 416
a 26 7 416
a 7 38 879
a 38 7 879
a 7 51 977
a 51 7 977
a 7 63 690
a 63 7 690
a 7 80 707
a 80 7 707
a 7 81 832
a 81 7 832
a 7 83 722
a 83 7 722
a 7 86 923
a 86 7 923
a 7 90 320
a 90 7 320
a 8 9 602
a 9 8 602
a 8 11 963
a 11 8 963
a 8 21 717
a 21 8 717
a 8 40 417
a 40 8 417
a 8 48 620
a 48 8 620
a 8 60 826
a 60 8 826
a 8 69 130
a 69 8 130
a 8 87 501
a 87 8 501
a 8 89 837
a 89 8 837
a 8 91 916
a 91 8 916
a 8 99 339
a 99 8 339
a 9 21 171
a 21 9 171
a 9 35 917
a 35 9 917
a 9 52 973
a 52 9 973
a 9 58 180
a 58 9 180
a 9 67 769
a 67 9 769
a 9 76 834
a 76 9 834
a 9 80 890
a 80 9 890
a 10 24 147
a 24 10 147
a 10 28 295
a 28 10 295
a 10 37 864
a 37 10 864
a 10 51 789
a 51 10 789
a 10 57 917
a 57 10 917
a 10 59 792
a 59 10 792
a 10 69 872
a 69 10 872
a 10 71 172
a 71 10 172
a 10 77 821
a 77 10 821
a 10 96 141
a 96 10 141
a 10 100 758
a 100 10 758
a 11 32 835
a 32 11 835
a 11 33 698
a 33 11 698
a 11 41 874
a 41 11 874
a 11 43 947
a 43 11 947
a 11 57 510
a 57 11 510
a 11 68 442
a 68 11 442
a 11 85 983
a 85 11 983
a 11 88 297
a 88 11 297
a 11 95 457
a 95 11 457
a 11 97 707
a 97 11 707
a 11 98 946
a 98 11 946
a 12 14 875
a 14 12 875
a 12 15 196
a 15 12 196
a 12 20 735
a 20 12 735
a 12 33 902
a 33 12 902
a 12 47 996
a 47 12 996
a 12 51 748
a 51 12 748
a 12 53 875
a 53 12 875
a 12 56 922
a 56 12 922
a 12 67 945
a 67 12 945
a 12 75 910
a 75 12 910
a 12 86 340
a 86 12 340
a 13 15 709
a 15 13 709
a 13 16 849
a 16 13 849
a 13 17 364
a 17 13 364
a 13 21 488
a 21 13 488
a 13 23 151
a 23 13 151
a 13 37 846
a 37 13 846
a 13 38 823
a 38 13 823
a 13 45 844
a 45 13 844
a 13 46 528
a 46 13 528
a 13 48 885
a 48 13 885
a 13 60 458
a 60 13 458
a 14 19 286
a 19 14 286
a 14 26 262
a 26 14 262
a 14 33 573
a 33 14 573
a 14 44 800
a 44 14 800
a 14 65 279
a 65 14 279
a 14 68 671
a 68 14 671
a 14 81 856
a 81 14 856
a 14 87 639
a 87 14 639
a 14 99 335
a 99 14 335
a 15 17 896
a 17 15 896
a 15 30 185
a 30 15 185
a 15 31 305
a 31 15 305
a 15 39 835
a 39 15 835
a 15 45 981
a 45 15 981
a 15 46 655
a 46 15 655
a 15 64 741
a 64 15 741
a 15 78 759
a 78 15 759
a 15 91 301
a 91 15 301
a 16 19 260
a 19 16 260
a 16 24 398
a 24 16 398
a 16 25 435
a 25 16 435
a 16 32 867
a 32 16 867
a 16 37 735
a 37 16 735
a 16 39 149
a 39 16 149
a 16 46 556
a 46 16 556
a 16 47 465
a 47 16 465
a 16 51 723
a 51 16 723
a 16 57 276
a 57 16 276
a 16 62 535
a 62 16 535
a 16 73 332
a 73 16 332
a 16 87 727
a 87 16 727
a 16 92 548
a 92 16 548
a 16 100 619
a 100 16 619
a 17 24 994
a 24 17 994
a 17 31 163
a 31 17 163
a 17 41 755
a 41 17 755
a 17 44 254
a 44 17 254
a 17 52 927
a 52 17 927
a 17 71 924
a 71 17 924
a 17 75 131
a 75 17 131
a 17 86 488
a 86 17 488
a 17 93 847
a 93 17 847
a 17 97 396
a 97 17 396
a 18 25 322
a 25 18 322
a 18 28 841
a 28 18 841
a 18 34 422
a 34 18 422
a 18 51 836
a 51 18 836
a 18 58 279
a 58 18 279
a 18 60 855
a 60 18 855
a 18 64 464
a 64 18 464
a 18 67 610
a 67 18 610
a 18 77 591
a 77 18 591
a 18 80 272
a 80 18 272
a 19 20 346
a 20 19 346
a 19 77 396
a 77 19 396
a 19 79 205
a 79 19 205
a 19 87 689
a 87 19 689
a 19 99 209
a 99 19 209
a 20 22 579
a 22 20 579
a 20 36 152
a 36 20 152
a 20 38 142
a 38 20 142
a 20 39 639
a 39 20 639
a 20 42 745
a 42 20 745
a 20 44 242
a 44 20 242
a 20 45 319
a 45 20 319
a 20 73 569
a 73 20 569
a 20 74 744
a 74 20 744
a 20 84 759
a 84 20 759
a 20 85 161
a 85 20 161
a 20 86 563
a 86 20 563
a 20 92 563
a 92 20 563
a 20 95 485
a 95 20 485
a 21 31 625
a 31 21 625
a 21 34 431
a 34 21 431
a 21 37 109
a 37 21 109
a 21 46 617
a 46 21 617
a 21 52 669
a 52 21 669
a 21 64 150
a 64 21 150
a 21 74 451
a 74 21 451
a 21 97 106
a 97 21 106
a 22 29 162
a 29 22 162
a 22 30 624
a 30 22 624
a 22 39 337
a 39 22 337
a 22 42 798
a 42 22 798
a 22 44 930
a 44 22 930
a 22 50 164
a 50 22 164
a 22 53 853
a 53 22 853
a 22 55 499
a 55 22 499
a 22 56 898
a 56 22 898
a 22 76 964
a 76 22 964
a 22 89 924
a 89 22 924
a 22 93 798
a 93 22 798
a 22 94 422
a 94 22 422
a 22 98 614
a 98 22 614
a 23 29 452
a 29 23 452
a 23 39 387
a 39 23 387
a 23 51 973
a 51 23 973
a 23 52 285
a 52 23 285
a 23 56 399
a 56 23 399
a 23 65 974
a 65 23 974
a 23 68 453
a 68 23 453
a 23 87 633
a 87 23 633
a 23 98 423
a 98 23 423
a 23 99 744
a 99 23 744
a 24 35 496
a 35 24 496
a 24 46 574
a 46 24 574
a 24 55 521
a 55 24 521
a 24 65 999
a 65 24 999
a 24 89 209
a 89 24 209
a 24 96 743
a 96 24 743
a 25 36 548
a 36 25 548
