p sp 100 3298
c
a 1 3 937
a 3 1 937
a 1 16 292
a 16 1 292
a 1 20 560
a 20 1 560
a 1 22 521
a 22 1 521
a 1 23 490
a 23 1 490
a 1 27 181
a 27 1 181
a 1 29 845
a 29 1 845
a 1 32 926
a 32 1 926
a 1 35 696
a 35 1 696
a 1 39 548
a 39 1 548
a 1 41 927
a 41 1 927
a 1 42 603
a 42 1 603
a 1 47 884
a 47 1 884
a 1 48 561
a 48 1 561
a 1 49 597
a 49 1 597
a 1 51 515
a 51 1 515
a 1 52 985
a 52 1 985
a 1 57 484
a 57 1 484
a 1 60 730
a 60 1 730
a 1 61 826
a 61 1 826
a 1 68 907
a 68 1 907
a 1 69 273
a 69 1 273
a 1 75 555
a 75 1 555
a 1 76 511
a 76 1 511
a 1 77 273
a 77 1 273
a 1 78 102
a 78 1 102
a 1 81 396
a 81 1 396
a 1 85 782
a 85 1 782
a 1 88 525
a 88 1 525
a 1 93 379
a 93 1 379
a 1 95 218
a 95 1 218
a 1 96 119
a 96 1 119
a 1 99 927
a 99 1 927
a 2 3 656
a 3 2 656
a 2 5 896
a 5 2 896
a 2 7 954
a 7 2 954
a 2 8 755
a 8 2 755
a 2 16 348
a 16 2 348
a 2 23 273
a 23 2 273
a 2 27 746
a 27 2 746
a 2 29 899
a 29 2 899
a 2 31 316
a 31 2 316
a 2 36 412
a 36 2 412
a 2 38 646
a 38 2 646
a 2 39 608
a 39 2 608
a 2 46 974
a 46 2 974
a 2 48 208
a 48 2 208
a 2 52 159
a 52 2 159
a 2 54 611
a 54 2 611
a 2 55 846
a 55 2 846
a 2 56 991
a 56 2 991
a 2 57 773
a 57 2 773
a 2 60 824
a 60 2 824
a 2 63 240
a 63 2 240
a 2 66 682
a 66 2 682
a 2 67 303
a 67 2 303
a 2 68 741
a 68 2 741
a 2 69 440
a 69 2 440
a 2 78 751
a 78 2 751
a 2 83 551
a 83 2 551
a 2 86 129
a 86 2 129
a 2 90 997
a 90 2 997
a 2 97 549
a 97 2 549
a 3 4 198
a 4 3 198
a 3 5 478
a 5 3 478
a 3 6 506
a 6 3 506
a 3 12 437
a 12 3 437
a 3 19 346
a 19 3 346
a 3 25 609
a 25 3 609
a 3 26 318
a 26 3 318
a 3 28 110
a 28 3 110
a 3 29 713
a 29 3 713
a 3 32 851
a 32 3 851
a 3 33 928
a 33 3 928
a 3 34 676
a 34 3 676
a 3 35 113
a 35 3 113
a 3 37 478
a 37 3 478
a 3 47 878
a 47 3 878
a 3 58 527
a 58 3 527
a 3 59 151
a 59 3 151
a 3 60 180
a 60 3 180
a 3 63 434
a 63 3 434
a 3 64 507
a 64 3 507
a 3 65 504
a 65 3 504
a 3 67 784
a 67 3 784
a 3 71 318
a 71 3 318
a 3 72 628
a 72 3 628
a 3 73 139
a 73 3 139
a 3 79 138
a 79 3 138
a 3 84 180
a 84 3 180
a 3 86 423
a 86 3 423
a 3 88 895
a 88 3 895
a 3 89 891
a 89 3 891
a 3 91 344
a 91 3 344
a 3 93 321
a 93 3 321
a 3 97 247
a 97 3 247
a 4 8 706
a 8 4 706
a 4 16 836
a 16 4 836
a 4 17 741
a 17 4 741
a 4 23 111
a 23 4 111
a 4 24 412
a 24 4 412
a 4 25 938
a 25 4 938
a 4 26 469
a 26 4 469
a 4 28 393
a 28 4 393
a 4 29 904
a 29 4 904
a 4 33 785
a 33 4 785
a 4 37 614
a 37 4 614
a 4 40 783
a 40 4 783
a 4 41 692
a 41 4 692
a 4 51 189
a 51 4 189
a 4 53 449
a 53 4 449
a 4 66 458
a 66 4 458
a 4 67 863
a 67 4 863
a 4 68 818
a 68 4 818
a 4 76 949
a 76 4 949
a 4 77 315
a 77 4 315
a 4 80 686
a 80 4 686
a 4 86 788
a 86 4 788
a 4 90 832
a 90 4 832
a 4 92 964
a 92 4 964
a 4 93 577
a 93 4 577
a 4 97 176
a 97 4 176
a 4 99 847
a 99 4 847
a 5 10 798
a 10 5 798
a 5 16 272
a 16 5 272
a 5 18 937
a 18 5 937
a 5 22 381
a 22 5 381
a 5 24 696
a 24 5 696
a 5 25 960
a 25 5 960
a 5 27 366
a 27 5 366
a 5 30 962
a 30 5 962
a 5 33 881
a 33 5 881
a 5 36 310
a 36 5 310
a 5 37 725
a 37 5 725
a 5 40 838
a 40 5 838
a 5 43 820
a 43 5 820
a 5 48 915
a 48 5 915
a 5 52 438
a 52 5 438
a 5 54 760
a 54 5 760
a 5 55 780
a 55 5 780
a 5 56 381
a 56 5 381
a 5 62 749
a 62 5 749
a 5 63 655
a 63 5 655
a 5 75 281
a 75 5 281
a 5 78 995
a 78 5 995
a 5 79 889
a 79 5 889
a 5 81 680
a 81 5 680
a 5 83 585
a 83 5 585
a 5 92 566
a 92 5 566
a 5 94 908
a 94 5 908
a 5 95 205
a 95 5 205
a 5 97 750
a 97 5 750
